"project_id","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements"
"37480","1","The Director of Geology and Mineral Exploration Bureau of Jiangxi and Bolivia's Mining and Metallurgy minister Luis Alberto Echazú Signed the Mineral Exploration Cooperation Agreement","","start-actual","","end-actual","China","CHN","Bolivia","BOL","320","Industry, Mining, Construction","Pipeline/identification"," "," ","0.0","0.0"
"35888","1","China Funds $60 Million USD to Bolivia's National Mine Geology and Technical Service (Sergeotecmin)","","start-actual","","end-actual","China","CHN","Bolivia","BOL","320","Industry, Mining, Construction","Pipeline/identification","2008","2008","60667589.05","0.0"
"35917","1","$600 Million Credit for Oruro-La Paz Bullet Train","","start-actual","","end-actual","China","CHN","Bolivia","BOL","210","Transport and Storage","Pipeline/identification","2009","2009","600000000.0","0.0"
"35922","1","China Will Loan $251 Million USD for Building and Launching Bolivian Satellite","","start-actual","","end-actual","China","CHN","Bolivia","BOL","220","Communications","Pipeline/identification","2009","2009","251000000.0","0.0"
"37409","1","China and Bolivia Signed the Exchange of Notes Concerning the Construction of Office Buildings for Bolivia's Department of Finance","","start-actual","","end-actual","China","CHN","Bolivia","BOL","320","Industry, Mining, Construction","Pipeline/identification"," "," ","0.0","0.0"
"35960","1","China Loans $67.8 Million USD to Bolivia for Regional Development","","start-actual","","end-actual","China","CHN","Bolivia","BOL","430","Other","Pipeline/identification","2010","2010","62288312.0","0.0"
"35958","1","China Loans $40 Million USD to Bolivia for Road Construction and Maintenance","","start-actual","","end-actual","China","CHN","Bolivia","BOL","210","Transport and Storage","Pipeline/identification","2010","2010","37187051.94","0.0"
"36006","1","China Signs $300 Million USD Credit Agreement with Bolivia for Industrial Purchases [linked to #36007]","","start-actual","","end-actual","China","CHN","Bolivia","BOL","210","Transport and Storage","Pipeline/identification","2011","2011","159158479.0","0.0"
"36005","1","Export Import Bank of China Signs $60 Million Loan Agreement with Bolivia","","start-actual","","end-actual","China","CHN","Bolivia","BOL","230","Energy Generation and Supply","Pipeline/identification","2011","2011","49737024.68","0.0"
"36125","1","China Loans 200 Million USD to Bolivia in 2012","","start-actual","","end-actual","China","CHN","Bolivia","BOL","998","Unallocated / Unspecified","Pipeline/identification","2012","2012","168096043.4","0.0"
"36183","1","Bolivia, China Sign Accords Worth $35 Million USD","","start-actual","","end-actual","China","CHN","Bolivia","BOL","998","Unallocated / Unspecified","Pipeline/identification","2013","2013","32110091.74","0.0"
"36118","1","China Aids Bolivian Armed Forces with $8 Million USD","","start-actual","","end-actual","China","CHN","Bolivia","BOL","150","Government and Civil Society","Pipeline/identification","2013","2013","7339449.541","0.0"
"36121","1","China Donates $4.5 Million USD to Install 500 Surveillance Cameras to Bolivia","","start-actual","","end-actual","China","CHN","Bolivia","BOL","150","Government and Civil Society","Pipeline/identification","2013","2013","4128440.367","0.0"
"38832","1","CRCC wins 579 million USD contract to construct the Rurrenabaque-Riberalta Highway Project [Linked to #36350]","","start-actual","","end-actual","China","CHN","Bolivia","BOL","210","Transport and Storage","Pipeline/identification","2014","2014","526363636.4","0.0"
"36269","1","China Donates Up to $10 Million USD for New Earth Station in Bolivia","","start-actual","","end-actual","China","CHN","Bolivia","BOL","150","Government and Civil Society","Pipeline/identification","2014","2014","9090909.091","0.0"
"36267","1","China Loans $80 Million to Bolivia for Airplanes ","","start-actual","","end-actual","China","CHN","Bolivia","BOL","210","Transport and Storage","Pipeline/identification","2014","2014","72727272.73","0.0"
"35856","1","China Offers to Lend $405 Million USD to Bolivia for El Mutun Iron Ore Deposit ","","start-actual","","end-actual","China","CHN","Bolivia","BOL","320","Industry, Mining, Construction","Pipeline/identification","2014","2014","312954545.5","0.0"
"39437","1","China Provides Credit Line of 50 million RMB","","start-actual","","end-actual","China","CHN","Bolivia","BOL","998","Unallocated / Unspecified","Pipeline/identification","2014","2014","7381220.586","0.0"
"35999","1","China Interested in Financing Bolivian Segment of Brazil-Peru Trans-oceanic Railway","","start-actual","","end-actual","China","CHN","Bolivia","BOL","210","Transport and Storage","Pipeline/identification"," "," ","0.0","0.0"
"36027","1","23.8 MM USD Loan to Purchase Turbines for Bolivia's First Wind Farm","","start-actual","","end-actual","China","CHN","Bolivia","BOL","230","Energy Generation and Supply","Pipeline/identification","2012","2012","20003429.16","0.0"
"36270","1","China Will Build Bolivia's Second Satellite","","start-actual","","end-actual","China","CHN","Bolivia","BOL","220","Communications","Pipeline/identification"," "," ","0.0","0.0"
"35860","1","China donates computer equipment to the Andean Community (CAN)","","start-actual","2003-04-15","end-actual","China","CHN","South America, regional","Unspecified","220","Communications","Completion","2003","2003","0.0","0.0"
"30487","1","Technical Assistance for Operation and Maintainance of Power Plants","","start-actual","","end-actual","China","CHN","Burundi","BDI","230","Energy Generation and Supply","Pipeline/identification"," "," ","0.0","0.0"
"30486","1","Donation of Fire and Construction Equipment","","start-actual","","end-actual","China","CHN","Burundi","BDI","160","Other Social Infrastructure and Services","Pipeline/identification"," "," ","0.0","0.0"
"36083","1","15th Chinese medical team","","start-actual","","end-actual","China","CHN","Burundi","BDI","120","Health","Completion"," "," ","0.0","0.0"
"30491","1","Donation of goods to celebrate Burundi's fiftieth anniversary of independence","","start-actual","","end-actual","China","CHN","Burundi","BDI","150","Government and Civil Society","Completion"," "," ","0.0","0.0"
"30058","1","Donation of solar photovoltaic systems","","start-actual","","end-actual","China","CHN","Burundi","BDI","230","Energy Generation and Supply","Completion","2012","2012","1130193.661","0.0"
"30096","1","Donation of vehicles to health ministry ","2012-04-23","start-actual","2012-04-23","end-actual","China","CHN","Burundi","BDI","120","Health","Completion","2012","2012","168096.0434","0.0"
"30480","1","China agrees to provide interest-free loan of 100 million CNY to Burundi","","start-actual","","end-actual","China","CHN","Burundi","BDI","998","Unallocated / Unspecified","Pipeline/identification","2011","2011","12829147.61","0.0"
"30063","1","Aircraft MA60 deal","","start-actual","","end-actual","China","CHN","Burundi","BDI","210","Transport and Storage","Completion"," "," ","0.0","0.0"
"31317","1","Confucius Institute at the University of Burundi","2011-02-18","start-actual","2012-09-06","end-actual","China","CHN","Burundi","BDI","110","Education","Completion","2011","2012","0.0","0.0"
"30065","1","Medical equipment donation","","start-actual","","end-actual","China","CHN","Burundi","BDI","120","Health","Pipeline/identification","2011","2011","1160530.576","0.0"
"30476","1","Mixed Commission on Sin-Burundian Cooperation Grant","","start-actual","","end-actual","China","CHN","Burundi","BDI","998","Unallocated / Unspecified","Pipeline/identification","2011","2011","6414573.805","0.0"
"36085","1","14th Chinese medical team","","start-actual","","end-actual","China","CHN","Burundi","BDI","120","Health","Completion"," "," ","0.0","0.0"
"357","1","Socio-economic Project Donation","","start-actual","","end-actual","China","CHN","Burundi","BDI","998","Unallocated / Unspecified","Pipeline/identification","2010","2010","5492699.298","0.0"
"32967","1","China provides agricultural experts to Burundi","","start-actual","","end-actual","China","CHN","Burundi","BDI","310","Agriculture, Forestry, Fishing","Completion"," "," ","0.0","0.0"
"30062","1","Training for Burundians","","start-actual","","end-actual","China","CHN","Burundi","BDI","998","Unallocated / Unspecified","Pipeline/identification"," "," ","0.0","0.0"
"30061","1","Construction of rural school","","start-actual","","end-actual","China","CHN","Burundi","BDI","110","Education","Completion"," "," ","0.0","0.0"
"30060","1","Sewing and cooking supplies donation to Foundation Buntu","","start-actual","","end-actual","China","CHN","Burundi","BDI","420","Women","Completion"," "," ","0.0","0.0"
"345","1","Interest-free Loan","","start-actual","","end-actual","China","CHN","Burundi","BDI","998","Unallocated / Unspecified","Pipeline/identification","2008","2008","2022252.968","0.0"
"36088","1","13th Chinese medical Team","","start-actual","","end-actual","China","CHN","Burundi","BDI","120","Health","Completion"," "," ","0.0","0.0"
"31196","1","China provides funding to for electoral support ","","start-actual","2010-12-31","end-actual","China","CHN","Burundi","BDI","150","Government and Civil Society","Completion","2008","2010","265926.2653","0.0"
"12298","1","Construction of Mpanda General Hospital","2009-05-14","start-actual","2011-01-19","end-actual","China","CHN","Burundi","BDI","120","Health","Completion","2008","2011","8478573.629","0.0"
"12303","1","Construction of Presidential Palace","","start-actual","","end-actual","China","CHN","Burundi","BDI","150","Government and Civil Society","Pipeline/identification"," "," ","0.0","0.0"
"12292","1","Rural Elementary Schools","","start-actual","2008-12-17","end-actual","China","CHN","Burundi","BDI","110","Education","Completion","2008","2008","2182709.785","0.0"
"355","1","Construction Material for Schools and Health Centers","2011-06-25","start-actual","2011-06-25","end-actual","China","CHN","Burundi","BDI","430","Other","Completion","2008","2011","582055.9427","0.0"
"327","1","Post-graduate studies scholarships","","start-actual","","end-actual","China","CHN","Burundi","BDI","110","Education","Pipeline/identification"," "," ","0.0","0.0"
"824","1","Mugere Hydropwer Station access road construction (linked to project ID #825)","2008-08-08","start-actual","2009-12-30","end-actual","China","CHN","Burundi","BDI","210","Transport and Storage","Completion","2008","2009","1712426.624","0.0"
"316","1","Debt cancellation Part 1","2007-05-25","start-actual","2007-05-25","end-actual","China","CHN","Burundi","BDI","600","Action Relating to Debt","Completion","2007","2007","33411382.32","0.0"
"12353","1","Debt cancellation Part 2","2007-09-13","start-actual","2007-09-13","end-actual","China","CHN","Burundi","BDI","600","Action Relating to Debt","Completion","2007","2007","21563674.78","0.0"
"30064","1","Grant for Strategic Framework for the Fight Against Poverty","","start-actual","2007-08-29","end-actual","China","CHN","Burundi","BDI","160","Other Social Infrastructure and Services","Completion","2007","2007","1568609.499","0.0"
"319","1","Malaria Treatment Center","2008-09-12","start-actual","","end-actual","China","CHN","Burundi","BDI","120","Health","Completion","2007","2008","1290136.826","0.0"
"12324","1","Malaria Treatment Drugs","","start-actual","","end-actual","China","CHN","Burundi","BDI","120","Health","Implementation","2007","2007","241126.7838","0.0"
"825","1","Rehabilitation of Mugere hydroelectric station","","start-actual","","end-actual","China","CHN","Burundi","BDI","230","Energy Generation and Supply","Implementation","2007","2007","4705828.496","0.0"
"36089","1","12th Chinese medical team","","start-actual","","end-actual","China","CHN","Burundi","BDI","120","Health","Completion"," "," ","0.0","0.0"
"23098","1","Construction of Higher Teacher-Training School","","start-actual","","end-actual","China","CHN","Burundi","BDI","110","Education","Completion","2006","2006","16892187.41","0.0"
"12194","1","Medical Teams","","start-actual","","end-actual","China","CHN","Burundi","BDI","120","Health","Implementation"," "," ","0.0","0.0"
"292","1","Hospital Equipment","","start-actual","","end-actual","China","CHN","Burundi","BDI","120","Health","Pipeline/identification"," "," ","0.0","0.0"
"36091","1","11th Chinese medical team","","start-actual","","end-actual","China","CHN","Burundi","BDI","120","Health","Completion"," "," ","0.0","0.0"
"91","1","Exim Bank Provides Loan for GSM mobile telecommunication project","","start-actual","2006-03-01","end-actual","China","CHN","Burundi","BDI","220","Communications","Completion","2004","2006","11919302.31","0.0"
"290","1","Economic Grant","","start-actual","","end-actual","China","CHN","Burundi","BDI","998","Unallocated / Unspecified","Pipeline/identification","2003","2003","5839327.976","0.0"
"36092","1","10th Chinese medical team","","start-actual","","end-actual","China","CHN","Burundi","BDI","120","Health","Completion"," "," ","0.0","0.0"
"288","1","Sports and Office equipment","2002-06-07","start-actual","2002-06-07","end-actual","China","CHN","Burundi","BDI","110","Education","Completion","2002","2002","0.0","0.0"
"277","1","Debt Relief","2001-04-27","start-actual","2001-04-27","end-actual","China","CHN","Burundi","BDI","600","Action Relating to Debt","Completion","2001","2001","76028223.57","0.0"
"280","1","Government Assistance Technical Agreement","","start-actual","","end-actual","China","CHN","Burundi","BDI","998","Unallocated / Unspecified","Pipeline/identification","2001","2001","4017885.869","0.0"
"36093","1","9th Chinese medical team","","start-actual","","end-actual","China","CHN","Burundi","BDI","120","Health","Completion"," "," ","0.0","0.0"
"37209","1","China Commits to Provide 31.6 million usd in Socioeconomic assistance to Burundi","","start-actual","","end-actual","China","CHN","Burundi","BDI","430","Other","Pipeline/identification"," "," ","0.0","0.0"
"36021","1","China donates $100K to International Conference on the Great Lakes Region","","start-actual","","end-actual","China","CHN","Burundi","BDI","150","Government and Civil Society","Implementation"," "," ","0.0","0.0"
"36018","1","China sends 16th medical team to Burundi","","start-actual","","end-actual","China","CHN","Burundi","BDI","120","Health","Completion"," "," ","0.0","0.0"
"36023","1","Chinese commissions Huawei-Onatel for Metropolitan Area Network in Burundi","","start-actual","","end-actual","China","CHN","Burundi","BDI","220","Communications","Implementation"," "," ","0.0","0.0"
"32016","1","Low-interest loan from Chinese bank to finance plywood factory in Cambodia (Linked to Project ID#32071)","2001-08-09","start-actual","","end-actual","China","CHN","Cambodia","KHM","320","Industry, Mining, Construction","Implementation","2001","2001","0.0","0.0"
"32031","1","China EXIM Bank concessional loan for Construction of Textile Factory","","start-actual","","end-actual","China","CHN","Cambodia","KHM","320","Industry, Mining, Construction","Pipeline/identification","2000","2000","10250920.85","0.0"
"32022","1","Interest-free loan for Cambodia's Industry and Agriculture","","start-actual","","end-actual","China","CHN","Cambodia","KHM","430","Other","Pipeline/identification","2000","2000","10250920.85","0.0"
"32065","1","China provides 2 Million Yuan in Flood Relief Goods","","start-actual","","end-actual","China","CHN","Cambodia","KHM","700","Humanitarian Aid (Including Reconstruction and Recovery)","Completion","2000","2000","410036.834","0.0"
"38887","1","China provides material assistance to Cambodian King's Working Group","","start-actual","","end-actual","China","CHN","Cambodia","KHM","430","Other","Completion"," "," ","0.0","0.0"
"32062","1","Restoration of Chau Say Tevoda temple of Angkor Wat","2001-03-29","start-actual","","end-actual","China","CHN","Cambodia","KHM","160","Other Social Infrastructure and Services","Completion","2000","2001","2050184.17","0.0"
"32078","1","China will donate 5m Yuan of Relief Goods to Cambodia (Linked to Project ID#32065)","","start-actual","","end-actual","China","CHN","Cambodia","KHM","700","Humanitarian Aid (Including Reconstruction and Recovery)","Pipeline/identification","2000","2000","1025092.085","0.0"
"32104","1","China offers 2 Million Yuan for Cambodian Flood Victims (Linked to #32065)","","start-actual","","end-actual","China","CHN","Cambodia","KHM","700","Humanitarian Aid (Including Reconstruction and Recovery)","Pipeline/identification","2000","2000","410036.834","0.0"
"32068","1","Chinese Pledges Extra 5 Million RMB for Flood Relief (Linked to Project ID#32104 & ID #32078)","","start-actual","","end-actual","China","CHN","Cambodia","KHM","700","Humanitarian Aid (Including Reconstruction and Recovery)","Pipeline/identification","2000","2000","1025092.085","0.0"
"32025","1","China Grants Cambodia 80m CNY in Interest-Free Loan (Linked to Project ID#32021)","","start-actual","","end-actual","China","CHN","Cambodia","KHM","998","Unallocated / Unspecified","Implementation","2001","2001","16071543.48","0.0"
"38884","1","China donates 1 million RMB worth of supplies to Cambodian King's Working Group","","start-actual","","end-actual","China","CHN","Cambodia","KHM","430","Other","Completion","2001","2001","200894.2935","0.0"
"32033","1","China donates forensic equipment to Cambodian police","","start-actual","","end-actual","China","CHN","Cambodia","KHM","150","Government and Civil Society","Completion","2001","2001","133025.2636","0.0"
"32037","1","China hands highway assembling steel bridges (45m yuan) to Cambodia (linked to Project ID#32095)","","start-actual","","end-actual","China","CHN","Cambodia","KHM","210","Transport and Storage","Completion","2001","2001","9040243.205","0.0"
"32035","1","China helps Cambodia Drill 500 Wells ","","start-actual","","end-actual","China","CHN","Cambodia","KHM","140","Water Supply and Sanitation","Completion"," "," ","0.0","0.0"
"32040","1","China to Drill 500 More Wells in Cambodia (Linked to Project ID#32035) ","2002-12-30","start-actual","2004-07-13","end-actual","China","CHN","Cambodia","KHM","140","Water Supply and Sanitation","Completion","2001","2004","3214308.695","0.0"
"32038","1","China to provide Cambodia with Construction Assistance","","start-actual","","end-actual","China","CHN","Cambodia","KHM","150","Government and Civil Society","Completion","2001","2001","3296675.356","0.0"
"32026","1","Chinese delegation donates technological equipment to Cambodian Minister of Fine Arts","","start-actual","","end-actual","China","CHN","Cambodia","KHM","150","Government and Civil Society","Completion","2001","2001","30134.14402","0.0"
"32029","1","Donation of criminal investigation equipment","","start-actual","","end-actual","China","CHN","Cambodia","KHM","150","Government and Civil Society","Completion","2001","2001","110491.8614","0.0"
"33399","1","China to provide 50 million CNY interest-free loans to Cambodia(Linked to Project ID#32066)","","start-actual","","end-actual","China","CHN","Cambodia","KHM","998","Unallocated / Unspecified","Pipeline/identification","2002","2002","9986374.537","0.0"
"32045","1","China donates 15,000 USD aid to Cambodian King's Working Group (linked to #32034)","","start-actual","","end-actual","China","CHN","Cambodia","KHM","430","Other","Completion","2002","2002","24797.03929","0.0"
"32034","1","China donates construction materials to Cambodian King's Working Group (linked to #32045) ","","start-actual","","end-actual","China","CHN","Cambodia","KHM","430","Other","Completion","2002","2002","199727.4907","0.0"
"32042","1","China donates de-mining equipment (108,000 USD) to Cambodia","","start-actual","2002-06-06","end-actual","China","CHN","Cambodia","KHM","150","Government and Civil Society","Completion","2002","2002","178538.6829","0.0"
"32070","1","China donates office equipment (1m CNY) to Cambodia","","start-actual","2002-08-28","end-actual","China","CHN","Cambodia","KHM","150","Government and Civil Society","Completion","2002","2002","199727.4907","0.0"
"32080","1","EXIMbank loans for Rehabilitation of Kirirom I hydropower dam","","start-actual","","end-actual","China","CHN","Cambodia","KHM","230","Energy Generation and Supply","Completion","2002","2002","25623607.26","0.0"
"32087","1","Waiver of US$200 million debts (Linked to Project ID#32066)","","start-actual","","end-actual","China","CHN","Cambodia","KHM","600","Action Relating to Debt","Completion","2002","2002","330627190.5","0.0"
"32095","1","Donation of 1500 meters of bridge steel (linked to Project ID#32037)","","start-actual","","end-actual","China","CHN","Cambodia","KHM","210","Transport and Storage","Implementation","2002","2002","14979561.81","0.0"
"32079","1","China to provide 50 million CNY grant to Cambodia (Linked to Project ID#32066)","","start-actual","","end-actual","China","CHN","Cambodia","KHM","998","Unallocated / Unspecified","Pipeline/identification","2002","2002","9986374.537","0.0"
"32066","1","12.5 million USD in grant aid and interest-free loans for projects (Linked to Project ID#32087, ID#33400, ID#32079, ID#33399)","","start-actual","","end-actual","China","CHN","Cambodia","KHM","998","Unallocated / Unspecified","Pipeline/identification"," "," ","0.0","0.0"
"32077","1","Interest-free loan of 24 million USD for National Road No.7 (linked to project ID #32081)","2004-10-01","start-actual","2007-12-31","end-actual","China","CHN","Cambodia","KHM","210","Transport and Storage","Completion","2003","2007","38665865.42","0.0"
"32067","1","China Donates Election Equipment to Cambodian Election Committee","","start-actual","2003-05-29","end-actual","China","CHN","Cambodia","KHM","150","Government and Civil Society","Completion","2003","2003","32221.55451","0.0"
"32081","1","China grants Cambodia 50 million yuan (linked to #32077)","","start-actual","","end-actual","China","CHN","Cambodia","KHM","510","General budget support","Completion","2003","2003","9732213.294","0.0"
"32069","1","Chinese Engineers and Technicians provide expertise for Cambodian Shopping Center","","start-actual","2003-05-26","end-actual","China","CHN","Cambodia","KHM","430","Other","Completion","2003","2003","0.0","0.0"
"38851","1","1st Cambodia-China Friendship (Sekong) Bridge (linked to #32077)","","start-actual","","end-actual","China","CHN","Cambodia","KHM","210","Transport and Storage","Completion"," "," ","0.0","0.0"
"32089","1","China Provides Emergency Relief to Cambodia For Avian Flu","","start-actual","2004-02-11","end-actual","China","CHN","Cambodia","KHM","700","Humanitarian Aid (Including Reconstruction and Recovery)","Completion","2004","2004","75343.25102","0.0"
"32088","1","China donates 400 police motorcycles (link to ID #32085)","","start-actual","","end-actual","China","CHN","Cambodia","KHM","150","Government and Civil Society","Completion"," "," ","0.0","0.0"
"38889","1","China donates construction machinery to Cambodian King's Working Group","","start-actual","","end-actual","China","CHN","Cambodia","KHM","430","Other","Completion","2004","2004","364117.7433","0.0"
"32083","1","250 Million Yuan in Preferential Loan","","start-actual","","end-actual","China","CHN","Cambodia","KHM","998","Unallocated / Unspecified","Pipeline/identification","2004","2004","45514717.91","0.0"
"32102","1","250 million RMB loan for developing Cambodia's telecommunications Industry","","start-actual","","end-actual","China","CHN","Cambodia","KHM","220","Communications","Completion","2005","2005","43793733.36","0.0"
"32063","1","China pledges 50 million yuan interest-free loan to Cambodia (linked to Project ID #32061)","","start-actual","","end-actual","China","CHN","Cambodia","KHM","998","Unallocated / Unspecified","Pipeline/identification","2005","2005","8758746.672","0.0"
"35662","1","Funding for 'Project of New Council of Ministers Building of the Kingdom of Cambodia'","","start-actual","","end-actual","China","CHN","Cambodia","KHM","150","Government and Civil Society","Completion","2005","2005","39426622.27","0.0"
"33165","1","China Donate PCVSAT Satellite Meteorology Equipment to Cambodia","","start-actual","","end-actual","China","CHN","Cambodia","KHM","160","Other Social Infrastructure and Services","Completion"," "," ","0.0","0.0"
"33160","1","China Donates Materials to Cambodian King's Working Group (linked to Project ID#33163) ","","start-actual","","end-actual","China","CHN","Cambodia","KHM","430","Other","Completion","2005","2005","350349.8669","0.0"
"33163","1","Technical Specialists and Materials sent to Cambodian King's work group","","start-actual","","end-actual","China","CHN","Cambodia","KHM","320","Industry, Mining, Construction","Completion","2005","2005","14497932.65","0.0"
"32061","1"," China pledges 50 million yuan grant to Cambodia (linked to Project ID #32063)","","start-actual","","end-actual","China","CHN","Cambodia","KHM","998","Unallocated / Unspecified","Pipeline/identification","2005","2005","8758746.672","0.0"
"33164","1","China's Training Program for Cambodia in 2005-2006","","start-actual","","end-actual","China","CHN","Cambodia","KHM","430","Other","Pipeline/identification"," "," ","0.0","0.0"
"32094","1","China pledges to provide administrative and technical personnel training for Cambodia","","start-actual","","end-actual","China","CHN","Cambodia","KHM","430","Other","Pipeline/identification"," "," ","0.0","0.0"
"33156","1","China Provide 100 Milliion RMB Interest-free Loan to Cambodia ","","start-actual","","end-actual","China","CHN","Cambodia","KHM","998","Unallocated / Unspecified","Pipeline/identification","2006","2006","16878547.43","0.0"
"32147","1","15,000 USD donation to Chinese-teaching schools","","start-actual","","end-actual","China","CHN","Cambodia","KHM","110","Education","Completion","2006","2006","20187.00857","0.0"
"32103","1","Cambodian National Telecom Network Upgrade (linked to project ID #32084, #32086, #32090)","","start-actual","","end-actual","China","CHN","Cambodia","KHM","220","Communications","Completion"," "," ","0.0","0.0"
"33215","1","China sends survey team to Cambodia National Botanical Garden","2006-04-08","start-actual","2007-04-08","end-actual","China","CHN","Cambodia","KHM","160","Other Social Infrastructure and Services","Completion","2006","2007","50635.6423","0.0"
"33134","1","Donation of 30 Fire Trucks in Phnom Penh (Linked to Project ID#32127)","","start-actual","","end-actual","China","CHN","Cambodia","KHM","160","Other Social Infrastructure and Services","Completion"," "," ","0.0","0.0"
"32166","1","Funding for construction of Cambodian government office","2007-01-28","start-actual","2008-11-28","end-actual","China","CHN","Cambodia","KHM","150","Government and Civil Society","Completion","2006","2008","43738518.57","0.0"
"32086","1","THSCAN Mobile Container Scanning System (linked to Project ID#33061)","","start-actual","","end-actual","China","CHN","Cambodia","KHM","150","Government and Civil Society","Completion"," "," ","0.0","0.0"
"32159","1","600 million USD aid package (linked to #33057, #33058, #32161, #32146, #33134, #32086, #32103)","","start-actual","","end-actual","China","CHN","Cambodia","KHM","430","Other","Implementation"," "," ","0.0","0.0"
"33159","1","Exchange Letter Signed: China Offer Cambodia Anti-Malaria Medicine","","start-actual","","end-actual","China","CHN","Cambodia","KHM","120","Health","Pipeline/identification"," "," ","0.0","0.0"
"33057","1","EXIMbank concessional loan for 2nd Cambodia-China Friendship (Prek Kdam) bridge (Linked to Project ID#32113)","2007-06-11","start-actual","2010-05-31","end-actual","China","CHN","Cambodia","KHM","210","Transport and Storage","Completion","2007","2010","34348259.34","0.0"
"33058","1","EXIMbank concessional loan for 3rd Cambodia-China Friendship (Prek Tamak) Bridge (Linked to Project ID#32113)","2007-06-06","start-actual","2010-09-30","end-actual","China","CHN","Cambodia","KHM","320","Industry, Mining, Construction","Completion","2007","2010","51913946.32","0.0"
"32146","1","EXIMbank concessional loan for Greater-Mekong Subregion Intercommunication System (GMS-IS) Cambodia Section (Phase I) (Linked to Project ID#32113 )","","start-actual","2010-07-05","end-actual","China","CHN","Cambodia","KHM","220","Communications","Completion","2007","2010","21176228.23","0.0"
